;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
74.;1943024725;10.04.2017;TENCENT INDUSTRY WIN-WIN FUND;HANGZHOU YOUDIAN TECHNOLOGY CO., LTD;CN;7372 / 8731;Minority stake 20%
75.;1907133526;22.12.2015;TENCENT INDUSTRY WIN-WIN FUND;ZANADU.CN;CN;7374;Minority stake unknown %
76.;1907234054;04.08.2017;TENCENT INDUSTRY WIN-WIN FUND;LEJU (SHENZHEN) ROBOTICS CO., LTD;CN;3559 / 3575;Minority stake unknown %
77.;1907248595;26.11.2013;TENCENT INDUSTRY WIN-WIN FUND;CHINA READING LTD;KY;7374;Capital Increase unknown stake %
78.;1907146648;09.08.2015;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI YUEREN INFORMATION TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
79.;1907219084;14.02.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING MENGXIANGJIA TECHNOLOGY CO., LTD;CN;6512 / 6531;Minority stake unknown %
80.;1943014261;06.01.2016;TENCENT INDUSTRY WIN-WIN FUND;SHENZHEN XTALPI TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
81.;1909199315;20.08.2014;TENCENT INDUSTRY WIN-WIN FUND;BEIJING SHANGXUE POSTGRADUATE EDUCATION CONSULTING CO., LTD;CN;7374 / 8299;Minority stake unknown %
82.;1907227479;05.07.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING SIXIANG POLYMER TECHNOLOGY CO., LTD;CN;7372;Minority stake 20%
83.;1909199326;16.09.2014;TENCENT INDUSTRY WIN-WIN FUND;BEIJING XINCHE CLOUD INFORMATION TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
84.;1907030711;30.09.2013;TENCENT INDUSTRY WIN-WIN FUND;BEIJING ZHICHENG YONGTUO INFORMATION TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
85.;1909199286;21.07.2014;TENCENT INDUSTRY WIN-WIN FUND;RONGCHANG INC.;CN;7211 / 7212 / 7216 / 7374;Minority stake 10%
86.;1943010202;27.11.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING YISEJIA TECHNOLOGY CO., LTD;CN;7374;Minority stake 25%
87.;1909199339;30.09.2014;TENCENT INDUSTRY WIN-WIN FUND;HONGDIAN TECHNOLOGY (BEIJING) CO., LTD;CN;7372;Minority stake unknown %
88.;1907226701;02.07.2017;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI GUOBAN NETWORK TECHNOLOGY CO., LTD;CN;7372;Minority stake 20%
89.;1907248056;10.07.2015;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI YOUHUG MEDIA CO., LTD;CN;7812;Minority stake unknown %
90.;1943054974;13.11.2015;TENCENT INDUSTRY WIN-WIN FUND;SHENZHEN HUISHOUBAO TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
91.;1907182018;10.11.2016;TENCENT INDUSTRY WIN-WIN FUND;GUANGZHOU DAIWOFEI INFORMATION TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
92.;1943067916;06.11.2018;TENCENT INDUSTRY WIN-WIN FUND;HANGZHOU CROSSINGSTAR CULTURE CREATIVE CO., LTD;CN;7812;Minority stake unknown %
93.;1907034851;30.06.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING AIKE CREATIVE INFORMATION TECHNOLOGY CO., LTD;CN;7374;Minority stake 10%
94.;1943026547;29.03.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING CHANGYOU NEW MEDIA TECHNOLOGY CO., LTD;CN;7922 / 7941;Minority stake 10%
95.;1943018623;09.02.2018;TENCENT INDUSTRY WIN-WIN FUND;WUHAN YHKT CULTURE COMMUNICATION CO., LTD;CN;7372 / 7812;Minority stake 10%
96.;1907081778;06.01.2015;TENCENT INDUSTRY WIN-WIN FUND;BEIJING YISI YIXUE EDUCATION TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
97.;1907089357;15.02.2015;TENCENT INDUSTRY WIN-WIN FUND;BEIJING XINCHE CLOUD INFORMATION TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
98.;1907111023;22.07.2015;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI FAHE INFORMATION TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
99.;1907117453;31.08.2011;TENCENT INDUSTRY WIN-WIN FUND;SHENZHEN LIUDU RENHE TECHNOLOGY CO., LTD;CN;7371 / 7372;Minority stake unknown %
100.;1907117560;25.06.2015;TENCENT INDUSTRY WIN-WIN FUND;NEXTEV LTD;CN;3711 / 8731;Minority stake unknown %
101.;1907193434;18.01.2017;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI HUIJIE CULTURE COMMUNICATION CO., LTD;CN;7812;Minority stake 20%
102.;1907195605;07.12.2016;TENCENT INDUSTRY WIN-WIN FUND;BEIJING HAIQIU TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
